t(s),u(m/s),v(m/s),w(m/s),p(deg/s),q(deg/s),r(deg/s),X(m),Y(m),Z(m),phi(deg),theta(deg),psi(deg),Del_s(deg),Del_bp(deg),Del_bs(deg),Del_r(deg),Del_delb,n(RPS),ax(m/s2),ay(m/s2),az(m/s2),alphax(deg/s2),alphay(deg/s2),alphaz(deg/s2)
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0
0.1,1,3.40E-13,2.40E-10,3.94E-10,-1.20E-07,7.73E-11,0.1,0,0,0,0,0,0,0,0,0.25,0,111,3.06E-06,3.40E-12,2.40E-09,3.94E-09,-1.20E-06,7.73E-10
0.2,1,1.64E-05,-1.09E-10,0.0001101,7.40E-08,-0.001148,0.2,3.40E-14,0,3.94E-11,-1.20E-08,7.73E-12,0,0,0,0.5,0,111,2.61E-06,0.0001641,-3.49E-09,0.001101,1.94E-06,-0.01148
0.3,1,4.97E-05,-1.19E-09,0.0003257,5.94E-07,-0.003411,0.3,1.64E-06,2.09E-11,1.10E-05,-4.56E-09,-0.0001148,0,0,0,0.75,0,111,1.15E-06,0.0003329,-1.08E-08,0.002156,5.20E-06,-0.02263
0.4,1,0.0001003,-3.22E-09,0.0006419,1.46E-06,-0.006756,0.4,6.41E-06,1.89E-11,4.36E-05,5.50E-08,-0.0004559,0,0,0,1,0,111,-1.48E-06,0.000506,-2.03E-08,0.003162,8.66E-06,-0.03346
0.5,1,0.0001686,-6.52E-09,0.001053,2.70E-06,-0.01115,0.5,1.57E-05,-1.57E-10,0.0001078,2.02E-07,-0.001132,0,0,0,1.25,0,111,-5.42E-06,0.0006832,-3.31E-08,0.004115,1.23E-05,-0.04398
0.6,1,0.0002551,-1.16E-08,0.001555,4.32E-06,-0.01658,0.6,3.05E-05,-8.42E-10,0.0002131,4.73E-07,-0.002247,0,0,0,1.5,0,111,-1.09E-05,0.0008643,-5.10E-08,0.005014,1.63E-05,-0.05421
0.7,1,0.0003599,-1.92E-08,0.00214,6.37E-06,-0.02299,0.7,5.21E-05,-2.67E-09,0.0003686,9.11E-07,-0.003904,0,0,0,1.75,0,111,-1.79E-05,0.001049,-7.62E-08,0.005857,2.04E-05,-0.06414
0.8,1,0.0004837,-3.04E-08,0.002805,8.85E-06,-0.03037,0.8,8.13E-05,-6.71E-09,0.0005826,1.56E-06,-0.006203,0,0,0,2,0,111,-2.67E-05,0.001237,-1.11E-07,0.006642,2.49E-05,-0.0738
0.9,1,0.0006265,-4.62E-08,0.003542,1.18E-05,-0.03869,0.9,0.0001188,-1.47E-08,0.0008631,2.48E-06,-0.00924,0,0,0,2.25,0,111,-3.75E-05,0.001428,-1.59E-07,0.00737,2.95E-05,-0.08319
1,1,0.0007887,-6.84E-08,0.004346,1.52E-05,-0.04792,1,0.0001654,-2.91E-08,0.001217,3.72E-06,-0.01311,0,0,0,2.5,0,111,-5.03E-05,0.001622,-2.22E-07,0.008039,3.43E-05,-0.09232
1.1,1,0.0009706,-9.88E-08,0.005211,1.92E-05,-0.05804,1.1,0.0002213,-5.36E-08,0.001652,5.34E-06,-0.0179,0,0,0,2.75,0,111,-6.52E-05,0.001819,-3.04E-07,0.008651,3.92E-05,-0.1012
1.2,1,0.001172,-1.40E-07,0.006131,2.36E-05,-0.06902,1.2,0.0002872,-9.33E-08,0.002173,7.43E-06,-0.02371,0,0,0,3,0,111,-8.25E-05,0.002018,-4.10E-07,0.009206,4.42E-05,-0.1098
1.3,1,0.001394,-1.94E-07,0.007102,2.85E-05,-0.08084,1.3,0.000363,-1.55E-07,0.002786,1.00E-05,-0.03061,0,0,0,3.25,0,111,-0.0001022,0.00222,-5.42E-07,0.009706,4.91E-05,-0.1182
1.4,0.9999,0.001637,-2.64E-07,0.008117,3.39E-05,-0.09348,1.4,0.0004491,-2.47E-07,0.003496,1.33E-05,-0.03869,0,0,0,3.5,0,111,-0.0001245,0.002424,-7.04E-07,0.01015,5.39E-05,-0.1264
1.5,0.9999,0.0019,-3.55E-07,0.009171,3.97E-05,-0.1069,1.5,0.0005452,-3.81E-07,0.004308,1.72E-05,-0.04804,0,0,0,3.75,0,111,-0.0001495,0.002629,-9.02E-07,0.01054,5.84E-05,-0.1343
1.6,0.9999,0.002183,-4.68E-07,0.01026,4.60E-05,-0.1211,1.6,0.0006513,-5.70E-07,0.005225,2.20E-05,-0.05873,0,0,0,4,0,111,-0.0001772,0.002837,-1.14E-06,0.01088,6.25E-05,-0.1421
1.7,0.9999,0.002488,-6.10E-07,0.01138,5.26E-05,-0.1361,1.7,0.0007672,-8.32E-07,0.006251,2.77E-05,-0.07084,0,0,0,4.25,0,111,-0.0002078,0.003046,-1.42E-06,0.01118,6.61E-05,-0.1496
1.8,0.9999,0.002814,-7.85E-07,0.01252,5.95E-05,-0.1518,1.8,0.0008923,-1.19E-06,0.007389,3.45E-05,-0.08445,0,0,0,4.5,0,111,-0.0002415,0.003256,-1.75E-06,0.01142,6.90E-05,-0.1569
1.9,0.9998,0.00316,-9.97E-07,0.01368,6.66E-05,-0.1682,1.9,0.001026,-1.66E-06,0.008641,4.24E-05,-0.09963,0,0,0,4.75,0,111,-0.0002782,0.003468,-2.13E-06,0.01163,7.11E-05,-0.164
2,0.9998,0.003528,-1.25E-06,0.01486,7.38E-05,-0.1853,2,0.001168,-2.29E-06,0.01001,5.16E-05,-0.1164,0,0,0,5,0,111,-0.0003182,0.00368,-2.56E-06,0.01179,7.22E-05,-0.1709
2.1,0.9998,0.003918,-1.56E-06,0.01605,8.10E-05,-0.203,2.1,0.001318,-3.09E-06,0.01149,6.22E-05,-0.135,0,0,0,5.25,0,111,-0.0003615,0.003894,-3.06E-06,0.01191,7.20E-05,-0.1777
2.2,0.9997,0.004329,-1.92E-06,0.01725,8.80E-05,-0.2215,2.2,0.001474,-4.13E-06,0.0131,7.43E-05,-0.1553,0,0,0,5.5,0,111,-0.0004082,0.004109,-3.62E-06,0.01199,7.05E-05,-0.1842
2.3,0.9997,0.004761,-2.35E-06,0.01845,9.48E-05,-0.2405,2.3,0.001636,-5.43E-06,0.01483,8.82E-05,-0.1774,0,0,0,5.75,0,111,-0.0004584,0.004324,-4.25E-06,0.01204,6.75E-05,-0.1906
2.4,0.9996,0.005215,-2.84E-06,0.01966,0.000101,-0.2602,2.4,0.001803,-7.06E-06,0.01667,0.0001039,-0.2015,0,0,0,6,0,111,-0.0005122,0.00454,-4.96E-06,0.01206,6.26E-05,-0.1969
2.5,0.9996,0.005691,-3.42E-06,0.02087,0.0001066,-0.2805,2.5,0.001973,-9.07E-06,0.01864,0.0001216,-0.2275,0,0,0,6.25,0,111,-0.0005697,0.004756,-5.74E-06,0.01205,5.57E-05,-0.2029
2.6,0.9995,0.006188,-4.08E-06,0.02207,0.0001113,-0.3014,2.6,0.002145,-1.15E-05,0.02072,0.0001414,-0.2555,0,0,0,6.5,0,111,-0.000631,0.004973,-6.60E-06,0.01201,4.66E-05,-0.2088
2.7,0.9994,0.006707,-4.83E-06,0.02326,0.0001148,-0.3228,2.7,0.002318,-1.46E-05,0.02293,0.0001634,-0.2857,0,0,0,6.75,0,111,-0.0006961,0.005189,-7.55E-06,0.01195,3.51E-05,-0.2146
2.8,0.9994,0.007247,-5.69E-06,0.02445,0.0001169,-0.3448,2.8,0.00249,-1.82E-05,0.02526,0.0001878,-0.318,0,0,0,7,0,111,-0.0007652,0.005406,-8.59E-06,0.01187,2.10E-05,-0.2202
2.9,0.9993,0.00781,-6.66E-06,0.02563,0.0001173,-0.3674,2.9,0.002661,-2.25E-05,0.0277,0.0002147,-0.3524,0,0,0,7.25,0,111,-0.0008383,0.005623,-9.73E-06,0.01177,3.88E-06,-0.2256
