t,u,v,w,p,q,r,X,Y,Z,phi,theta,psi,u_dot,v_dot,w_dot,p_dot,q_dot,r_dot
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,1,3.40E-13,2.40E-10,6.87E-12,-2.09E-09,1.35E-12,0.1,0,0,0,0,0,3.06E-06,3.40E-12,2.40E-09,6.87E-11,-2.09E-08,1.35E-11
0.2,1,1.64E-05,-1.09E-10,1.92E-06,1.29E-09,-2.00E-05,0.2,3.40E-14,0,6.87E-13,-2.09E-10,1.35E-13,2.61E-06,0.00016412,-3.49E-09,1.92E-05,3.38E-08,-0.00020034
0.3,1,4.97E-05,-1.19E-09,5.68E-06,1.04E-08,-5.95E-05,0.3,1.64E-06,2.09E-11,1.92E-07,-7.96E-11,-2.00E-06,1.15E-06,0.00033288,-1.08E-08,3.76E-05,9.08E-08,-0.00039493
0.4,1,0.0001003,-3.22E-09,1.12E-05,2.55E-08,-0.00011792,0.4,6.41E-06,1.89E-11,7.61E-07,9.59E-10,-7.96E-06,-1.48E-06,0.000506,-2.03E-08,5.52E-05,1.51E-07,-0.00058396
0.5,1,0.00016862,-6.52E-09,1.84E-05,4.70E-08,-0.00019468,0.5,1.56E-05,-1.57E-10,1.88E-06,3.52E-09,-1.97E-05,-5.42E-06,0.00068323,-3.31E-08,7.18E-05,2.15E-07,-0.00076761
0.6,1,0.00025505,-1.16E-08,2.71E-05,7.54E-08,-0.00028929,0.6,3.05E-05,-8.42E-10,3.72E-06,8.26E-09,-3.92E-05,-1.09E-05,0.0008643,-5.10E-08,8.75E-05,2.84E-07,-0.00094607
0.7,1,0.00035995,-1.92E-08,3.74E-05,1.11E-07,-0.00040124,0.7,5.21E-05,-2.67E-09,6.43E-06,1.59E-08,-6.81E-05,-1.79E-05,0.001049,-7.62E-08,0.00010222,3.57E-07,-0.0011195
0.8,0.99999,0.00048365,-3.03E-08,4.90E-05,1.55E-07,-0.00053005,0.8,8.13E-05,-6.71E-09,1.02E-05,2.73E-08,-0.00010827,-2.67E-05,0.001237,-1.11E-07,0.00011593,4.34E-07,-0.0012881
0.9,0.99999,0.00062647,-4.62E-08,6.18E-05,2.06E-07,-0.00067524,0.9,0.00011883,-1.47E-08,1.51E-05,4.33E-08,-0.00016127,-3.75E-05,0.0014282,-1.59E-07,0.00012862,5.15E-07,-0.0014519
1,0.99999,0.00078869,-6.84E-08,7.58E-05,2.66E-07,-0.00083636,1,0.00016535,-2.91E-08,2.12E-05,6.49E-08,-0.0002288,-5.03E-05,0.0016222,-2.22E-07,0.00014031,5.98E-07,-0.0016112
1.1,0.99998,0.00097059,-9.88E-08,9.09E-05,3.34E-07,-0.001013,1.1,0.00022134,-5.36E-08,2.88E-05,9.32E-08,-0.00031243,-6.52E-05,0.001819,-3.04E-07,0.00015099,6.84E-07,-0.0017661
1.2,0.99997,0.0011724,-1.40E-07,0.00010701,4.11E-07,-0.0012047,1.2,0.00028716,-9.33E-08,3.79E-05,1.30E-07,-0.00041373,-8.25E-05,0.0020183,-4.10E-07,0.00016068,7.71E-07,-0.0019168
1.3,0.99996,0.0013944,-1.94E-07,0.00012395,4.97E-07,-0.001411,1.3,0.00036303,-1.55E-07,4.86E-05,1.75E-07,-0.0005342,-0.00010224,0.0022199,-5.42E-07,0.0001694,8.57E-07,-0.0020633
1.4,0.99995,0.0016368,-2.64E-07,0.00014167,5.91E-07,-0.0016316,1.4,0.00044905,-2.47E-07,6.10E-05,2.32E-07,-0.0006753,-0.00012451,0.0024236,-7.04E-07,0.00017716,9.40E-07,-0.0022058
1.5,0.99993,0.0018997,-3.55E-07,0.00016007,6.93E-07,-0.001866,1.5,0.00054521,-3.80E-07,7.52E-05,3.01E-07,-0.00083845,-0.00014945,0.0026292,-9.02E-07,0.00018401,1.02E-06,-0.0023444
1.6,0.99992,0.0021834,-4.68E-07,0.00017906,8.02E-07,-0.0021139,1.6,0.00065134,-5.70E-07,9.12E-05,3.84E-07,-0.0010251,-0.00017719,0.0028366,-1.14E-06,0.00018997,1.09E-06,-0.0024793
1.7,0.99989,0.0024879,-6.10E-07,0.00019857,9.17E-07,-0.002375,1.7,0.00076718,-8.32E-07,0.0001091,4.84E-07,-0.0012364,-0.00020782,0.0030456,-1.42E-06,0.00019508,1.15E-06,-0.0026105
1.8,0.99987,0.0028135,-7.85E-07,0.00021851,1.04E-06,-0.0026488,1.8,0.00089234,-1.19E-06,0.00012896,6.01E-07,-0.0014739,-0.00024146,0.003256,-1.75E-06,0.00019937,1.20E-06,-0.0027382
