Time,u,v,w,p,q,r,X,Y,Z,phi,theta,psi,a_x,a_y,a_z,p_dot,q_dot,r_dot
0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0159,-1.77E-08,-1.25E-05,-3.57E-07,0.000109,-7.02E-08
0.1,0.99841,-1.77E-09,-1.25E-06,-3.57E-08,1.09E-05,-7.02E-09,0.1,0,0,0,0,0,-0.0159,-2.03E-08,-2.46E-05,-2.99E-07,0.000102,-6.38E-08
0.2,0.99682,-3.10E-09,-2.62E-06,-6.56E-08,2.11E-05,-1.34E-08,0.19984,-1.77E-10,0,-3.57E-09,1.09E-06,-7.02E-10,-0.0158,-2.25E-08,-3.59E-05,-2.45E-07,9.60E-05,-5.70E-08
0.3,0.99524,-4.01E-09,-4.11E-06,-9.01E-08,3.07E-05,-1.91E-08,0.29952,-5.57E-10,-1.08E-07,-1.01E-08,3.19E-06,-2.04E-09,-0.0158,-2.45E-08,-4.65E-05,-1.99E-07,9.10E-05,-5.10E-08
0.4,0.99366,-4.56E-09,-5.70E-06,-1.10E-07,3.98E-05,-2.42E-08,0.39905,-1.16E-09,-4.26E-07,-1.92E-08,6.27E-06,-3.95E-09,-0.0158,-2.60E-08,-5.63E-05,-1.50E-07,8.50E-05,-4.60E-08
0.5,0.99208,-4.76E-09,-7.38E-06,-1.25E-07,4.83E-05,-2.88E-08,0.49841,-2.01E-09,-1.05E-06,-3.01E-08,1.02E-05,-6.37E-09,-0.0157,-2.75E-08,-6.55E-05,-1.10E-07,8.00E-05,-4.10E-08
0.6,0.99051,-4.65E-09,-9.14E-06,-1.36E-07,5.63E-05,-3.29E-08,0.59762,-3.12E-09,-2.07E-06,-4.26E-08,1.51E-05,-9.25E-09,-0.0156,-2.86E-08,-7.44E-05,-7.00E-08,7.50E-05,-3.70E-08
0.7,0.98895,-4.25E-09,-1.10E-05,-1.43E-07,6.38E-05,-3.66E-08,0.69667,-4.50E-09,-3.56E-06,-5.61E-08,2.07E-05,-1.25E-08,-0.0156,-2.98E-08,-8.21E-05,-3.00E-08,7.00E-05,-3.20E-08
0.8,0.98739,-3.61E-09,-1.29E-05,-1.46E-07,7.08E-05,-3.98E-08,0.79557,-6.16E-09,-5.61E-06,-7.04E-08,2.71E-05,-1.62E-08,-0.0156,-3.05E-08,-8.89E-05,-1.00E-08,6.50E-05,-2.80E-08
0.9,0.98583,-2.73E-09,-1.48E-05,-1.47E-07,7.73E-05,-4.26E-08,0.89431,-8.13E-09,-8.28E-06,-8.50E-08,3.42E-05,-2.02E-08,-0.0155,-3.12E-08,-9.62E-05,2.00E-08,6.10E-05,-2.50E-08
1,0.98428,-1.65E-09,-1.68E-05,-1.45E-07,8.34E-05,-4.51E-08,0.99289,-1.04E-08,-1.16E-05,-9.97E-08,4.19E-05,-2.45E-08,-0.0154,-3.19E-08,-0.00010209,4.00E-08,5.70E-05,-2.10E-08
1.1,0.98274,-3.96E-10,-1.88E-05,-1.41E-07,8.91E-05,-4.72E-08,1.0913,-1.30E-08,-1.58E-05,-1.14E-07,5.02E-05,-2.90E-08,-0.0154,-3.22E-08,-0.00010856,7.00E-08,5.20E-05,-1.80E-08
1.2,0.9812,1.02E-09,-2.09E-05,-1.34E-07,9.43E-05,-4.90E-08,1.1896,-1.58E-08,-2.07E-05,-1.28E-07,5.91E-05,-3.37E-08,-0.0154,-3.27E-08,-0.00011253,8.00E-08,4.90E-05,-1.50E-08
1.3,0.97966,2.56E-09,-2.29E-05,-1.26E-07,9.92E-05,-5.05E-08,1.2877,-1.91E-08,-2.65E-05,-1.42E-07,6.86E-05,-3.86E-08,-0.0153,-3.28E-08,-0.00011818,9.00E-08,4.50E-05,-1.30E-08
1.4,0.97813,4.23E-09,-2.50E-05,-1.17E-07,0.0001037,-5.18E-08,1.3857,-2.26E-08,-3.32E-05,-1.54E-07,7.85E-05,-4.36E-08,-0.0153,-3.32E-08,-0.00012243,1.10E-07,4.15E-05,-1.00E-08
1.5,0.9766,5.98E-09,-2.71E-05,-1.06E-07,0.00010785,-5.28E-08,1.4835,-2.64E-08,-4.09E-05,-1.66E-07,8.89E-05,-4.88E-08,-0.0152,-3.32E-08,-0.00012633,1.18E-07,3.81E-05,-8.00E-09
1.6,0.97508,7.82E-09,-2.92E-05,-9.42E-08,0.00011166,-5.36E-08,1.5811,-3.06E-08,-4.96E-05,-1.76E-07,9.96E-05,-5.41E-08,-0.0152,-3.33E-08,-0.00012988,1.23E-07,3.49E-05,-5.00E-09
1.7,0.97356,9.72E-09,-3.13E-05,-8.19E-08,0.00011515,-5.41E-08,1.6787,-3.51E-08,-5.93E-05,-1.86E-07,0.0001108,-5.95E-08,-0.0152,-3.29E-08,-0.00013311,1.28E-07,3.18E-05,-4.00E-09
1.8,0.97204,1.17E-08,-3.34E-05,-6.91E-08,0.00011833,-5.45E-08,1.776,-3.99E-08,-7.01E-05,-1.94E-07,0.00012232,-6.49E-08,-0.0151,-3.40E-08,-0.00013602,1.31E-07,2.89E-05,-2.00E-09
1.9,0.97053,1.36E-08,-3.55E-05,-5.60E-08,0.00012122,-5.47E-08,1.8732,-4.50E-08,-8.20E-05,-2.01E-07,0.00013415,-7.03E-08,-0.015,-3.31E-08,-0.00013765,1.33E-07,2.61E-05,-1.00E-09
2,0.96903,1.56E-08,-3.75E-05,-4.27E-08,0.00012383,-5.48E-08,1.9703,-5.05E-08,-9.50E-05,-2.07E-07,0.00014627,-7.58E-08,-0.015,-3.31E-08,-0.00014099,1.32E-07,2.34E-05,1.00E-09
