t(s),u(m/s),v(m/s),w(m/s),p(deg/s),q(deg/s),r(deg/s),X(m),Y(m),Z(m),phi(deg),theta(deg),psi(deg),Del_s(deg),Del_bp(deg),Del_bs(deg),Del_r(deg),Del_delb,n(RPS),ax(m/s2),ay(m/s2),az(m/s2),alphax(deg/s2),alphay(deg/s2),alphaz(deg/s2)
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.97,0,0,0,0,0,0
0.01,1,3.4021e-14,2.4007e-11,6.867e-13,-2.0868e-10,1.349e-13,0.01,0,0,0,0,0,0,0,0,0,0,110.97,3.0622e-06,3.4021e-12,2.4007e-09,6.867e-11,-2.0868e-08,1.349e-11
0.02,1,6.7185e-14,4.8274e-11,1.3621e-12,-4.1614e-10,2.6848e-13,0.02,3.4021e-16,0,6.867e-15,-2.0868e-12,1.349e-15,0,0,0,0,0,110.97,3.0613e-06,3.3163e-12,2.4267e-09,6.7543e-11,-2.0746e-08,1.3359e-11
0.03,1,9.9496e-14,7.2797e-11,2.0264e-12,-6.2237e-10,4.0077e-13,0.03,1.0255e-15,2.0868e-14,2.0488e-14,-6.2482e-12,4.0338e-15,0,0,0,0,0,110.97,3.0604e-06,3.2312e-12,2.4524e-09,6.6423e-11,-2.0624e-08,1.3229e-11
0.04,1,1.3096e-13,9.7575e-11,2.6795e-12,-8.2739e-10,5.3177e-13,0.04,2.0608e-15,8.335e-14,4.0752e-14,-1.2472e-11,8.0415e-15,0,0,0,0,0,110.97,3.0594e-06,3.1467e-12,2.4778e-09,6.5311e-11,-2.0502e-08,1.31e-11
0.05,1,1.3096e-13,9.7575e-11,2.6795e-12,-8.2739e-10,5.3177e-13,0.04,2.0608e-15,8.335e-14,4.0752e-14,-1.2472e-11,8.0415e-15,0,0,0,0,0,110.97,0,0,0,0,0,0
0.06,1,1.6159e-13,1.2261e-10,3.3215e-12,-1.0312e-09,6.6149e-13,0.05,3.4509e-15,2.0807e-13,6.7547e-14,-2.0746e-11,1.3359e-14,0,0,0,0,0,110.97,3.0585e-06,3.0628e-12,2.503e-09,6.4208e-11,-2.0381e-08,1.2972e-11
0.07,1,1.9139e-13,1.4788e-10,3.9527e-12,-1.2338e-09,7.8994e-13,0.06,5.2004e-15,4.1553e-13,1.0076e-13,-3.1058e-11,1.9974e-14,0,0,0,0,0,110.97,3.0576e-06,2.9797e-12,2.5279e-09,6.3112e-11,-2.0261e-08,1.2845e-11
0.08,1,2.2036e-13,1.7341e-10,4.5729e-12,-1.4352e-09,9.1713e-13,0.07,7.314e-15,7.2611e-13,1.4029e-13,-4.3396e-11,2.7874e-14,0,0,0,0,0,110.97,3.0567e-06,2.8972e-12,2.5526e-09,6.2024e-11,-2.0141e-08,1.2719e-11
0.09,1,2.2036e-13,1.7341e-10,4.5729e-12,-1.4352e-09,9.1713e-13,0.07,7.314e-15,7.2611e-13,1.4029e-13,-4.3396e-11,2.7874e-14,0,0,0,0,0,110.97,0,0,0,0,0,0
0.1,1,2.4851e-13,1.9918e-10,5.1824e-12,-1.6354e-09,1.0431e-12,0.08,9.7964e-15,1.1601e-12,1.8602e-13,-5.7748e-11,3.7045e-14,0,0,0,0,0,110.97,3.0557e-06,2.8153e-12,2.5771e-09,6.0945e-11,-2.0021e-08,1.2593e-11
