t(s),u(m/s),v(m/s),w(m/s),p(deg/s),q(deg/s),r(deg/s),X(m),Y(m),Z(m),phi(deg),theta(deg),psi(deg),Del_s(deg),Del_bp(deg),Del_bs(deg),Del_r(deg),Del_delb,n(RPS),ax(m/s2),ay(m/s2),az(m/s2),alphax(deg/s2),alphay(deg/s2),alphaz(deg/s2)
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,-0.0001786,-5.892e-05,4.996e-06,0.0001251,-3.404e-05,0.0008161
0.1,1.001,8.29e-06,5.746e-07,5.514e-05,-0.0002633,-0.0005688,0.1,2.673e-07,7.778e-09,1.859e-06,-1.33e-05,-1.9e-05,0,0,0,0.25,0,111,0,0,0,0,0,0
0.2,1.001,3.349e-05,1.205e-06,0.0002158,-0.0005111,-0.002256,0.2001,2.089e-06,6.134e-08,1.455e-05,-5.215e-05,-0.0001511,0,0,0,0.5,0,111,0,0,0,0,0,0
0.3,1.002,7.606e-05,1.886e-06,0.0004771,-0.0007439,-0.005034,0.3003,6.886e-06,2.041e-07,4.837e-05,-0.000115,-0.0005066,0,0,0,0.75,0,111,0,0,0,0,0,0
0.4,1.003,0.0001365,2.611e-06,0.0008343,-0.0009623,-0.008875,0.4006,1.593e-05,4.767e-07,0.0001132,-0.0002004,-0.001193,0,0,0,1,0,111,0,0,0,0,0,0
0.5,1.003,0.0002151,3.375e-06,0.001282,-0.001167,-0.01375,0.5009,3.036e-05,9.174e-07,0.0002183,-0.000307,-0.002316,0,0,0,1.25,0,111,0,0,0,0,0,0
0.6,1.004,0.0003124,4.174e-06,0.001815,-0.001358,-0.01964,0.6012,5.115e-05,1.562e-06,0.0003724,-0.0004334,-0.003977,0,0,0,1.5,0,111,0,0,0,0,0,0
0.7,1.005,0.0004288,5.001e-06,0.002428,-0.001536,-0.02651,0.7017,7.917e-05,2.443e-06,0.000584,-0.0005782,-0.006276,0,0,0,1.75,0,111,0,0,0,0,0,0
0.8,1.006,0.0005646,5.851e-06,0.003116,-0.001702,-0.03434,0.8022,0.0001151,3.59e-06,0.0008606,-0.0007401,-0.009311,0,0,0,2,0,111,0,0,0,0,0,0
0.9,1.006,0.0007201,6.718e-06,0.003872,-0.001856,-0.04311,0.9028,0.0001596,5.03e-06,0.001209,-0.0009181,-0.01318,0,0,0,2.25,0,111,0,0,0,0,0,0
1,1.007,0.0008956,7.597e-06,0.004693,-0.001999,-0.05279,1.003,0.000213,6.789e-06,0.001637,-0.001111,-0.01796,0,0,0,2.5,0,111,0,0,0,0,0,0
1.1,1.008,0.001092,8.483e-06,0.005571,-0.00213,-0.06337,1.104,0.0002756,8.885e-06,0.00215,-0.001317,-0.02376,0,0,0,2.75,0,111,0,0,0,0,0,0
1.2,1.008,0.001308,9.369e-06,0.006503,-0.002251,-0.07482,1.205,0.0003477,1.134e-05,0.002754,-0.001536,-0.03067,0,0,0,3,0,111,0,0,0,0,0,0
1.3,1.009,0.001546,1.025e-05,0.007484,-0.002362,-0.08711,1.306,0.0004293,1.415e-05,0.003453,-0.001766,-0.03876,0,0,0,3.25,0,111,0,0,0,0,0,0
1.4,1.01,0.001804,1.112e-05,0.008507,-0.002463,-0.1002,1.407,0.0005203,1.735e-05,0.004252,-0.002007,-0.04812,0,0,0,3.5,0,111,0,0,0,0,0,0
1.5,1.01,0.002084,1.196e-05,0.009569,-0.002556,-0.1142,1.508,0.0006206,2.092e-05,0.005156,-0.002257,-0.05883,0,0,0,3.75,0,111,0,0,0,0,0,0
1.6,1.011,0.002386,1.278e-05,0.01067,-0.002639,-0.1289,1.609,0.0007296,2.488e-05,0.006168,-0.002516,-0.07098,0,0,0,4,0,111,0,0,0,0,0,0
1.7,1.012,0.00271,1.357e-05,0.01179,-0.002714,-0.1444,1.71,0.0008472,2.921e-05,0.007291,-0.002782,-0.08463,0,0,0,4.25,0,111,0,0,0,0,0,0
1.8,1.012,0.003055,1.432e-05,0.01294,-0.002782,-0.1606,1.811,0.0009725,3.39e-05,0.008529,-0.003055,-0.09988,0,0,0,4.5,0,111,0,0,0,0,0,0
1.9,1.013,0.003423,1.502e-05,0.01412,-0.002842,-0.1776,1.912,0.001105,3.893e-05,0.009882,-0.003333,-0.1168,0,0,0,4.75,0,111,0,0,0,0,0,0
2,1.013,0.003813,1.566e-05,0.01531,-0.002895,-0.1953,2.014,0.001244,4.427e-05,0.01135,-0.003617,-0.1354,0,0,0,5,0,111,0,0,0,0,0,0
